Name,ActiveCases,Recovered,Death,Total cases,Date
Delhi,21146,84694,3300,109140,7/11/2020
Goa,895,1347,9,2251,7/11/2020
Gujarat,9900,28147,2022,40069,7/11/2020
Haryana,4740,14904,290,19934,7/11/2020
Himachal Pradesh,277,883,11,1171,7/11/2020
Jammu and Kashmir,3943,5786,159,9888,7/11/2020
Jharkhand,1172,2224,23,3419,7/11/2020
Karnataka,19039,13836,543,33418,7/11/2020
Kerala,3103,3820,27,6950,7/11/2020
Ladakh,146,917,1,1064,7/11/2020
Madhya Pradesh,3538,12481,638,16657,7/11/2020
Maharashtra,95943,132625,9893,238461,7/11/2020
Manipur,750,832,0,1582,7/11/2020
Meghalaya,139,66,2,207,7/11/2020
Mizoram,83,143,0,226,7/11/2020
Nagaland,428,304,0,732,7/11/2020
Odisha,3928,7972,56,11956,7/11/2020
Puducherry,618,637,17,1272,7/11/2020
Punjab,2153,5017,187,7357,7/11/2020
Rajasthan,5057,17620,497,23174,7/11/2020
Sikkim,54,80,0,134,7/11/2020
Tamil Nadu,46108,82324,1829,130261,7/11/2020
Telangana,12680,19205,339,32224,7/11/2020
Tripura,545,1372,1,1918,7/11/2020
Uttar Pradesh,11024,21787,889,33700,7/11/2020
Uttarakhand,621,2706,46,3373,7/11/2020
West Bengal,8881,17348,880,27109,7/11/2020
Andaman and Nicobar Islands,70,93,0,163,7/12/2020
Andhra Pradesh,12533,14393,309,27235,7/12/2020
Arunachal Pradesh,214,125,2,341,7/12/2020
Assam,6351,9150,35,15536,7/12/2020
Bihar,4557,10685,131,15373,7/12/2020
Chandigarh,135,413,7,555,7/12/2020
Chhattisgarh,810,3070,17,3897,7/12/2020
Dadra and Nagar Haveli and Daman and Diu,245,226,0,471,7/12/2020
Delhi,19895,87692,3334,110921,7/12/2020
Goa,928,1428,12,2368,7/12/2020
Gujarat,10260,28649,2032,40941,7/12/2020
Haryana,4891,15394,297,20582,7/12/2020
Himachal Pradesh,263,908,11,1182,7/12/2020
Jammu and Kashmir,4092,5895,169,10156,7/12/2020
Jharkhand,1347,2243,23,3613,7/12/2020
Karnataka,20887,14716,613,36216,7/12/2020
Kerala,3446,3963,29,7438,7/12/2020
Ladakh,148,928,1,1077,7/12/2020
Madhya Pradesh,3878,12679,644,17201,7/12/2020
Maharashtra,99499,136985,10116,246600,7/12/2020
Manipur,750,843,0,1593,7/12/2020
Meghalaya,139,66,2,207,7/12/2020
Mizoram,77,150,0,227,7/12/2020
Nagaland,435,313,0,748,7/12/2020
Odisha,4105,8360,61,12526,7/12/2020
Puducherry,629,690,18,1337,7/12/2020
Punjab,2352,5040,195,7587,7/12/2020
Rajasthan,5376,17869,503,23748,7/12/2020
Sikkim,71,80,0,151,7/12/2020
Tamil Nadu,46413,85915,1898,134226,7/12/2020
Telangana,12135,20919,348,33402,7/12/2020
Tripura,572,1375,2,1949,7/12/2020
Uttar Pradesh,11490,22689,913,35092,7/12/2020
Uttarakhand,653,2718,46,3417,7/12/2020
West Bengal,9588,17959,906,28453,7/12/2020
